UNIQUE_ID,WORKER_UNIQUE_ID,CONTACT_TYPE,CONTACT_VALUE,PRIMARY_FLAG,EFFECTIVE_FROM,EFFECTIVE_TO
4920f652-3229-496d-902b-8d863b415d72,b17fda6a-2d5c-43ed-9fd8-16c6271d8c36,EMAIL,miaryan@example.net,Y,2020-11-02,2026-09-05
5f6ca7fd-59bd-4bcb-8da8-4632985073c0,b17fda6a-2d5c-43ed-9fd8-16c6271d8c36,PHONE,+19428607712,N,2022-01-16,2028-04-28
e99b459f-f1ca-45e3-b1b0-bf891ab33b48,f937e481-8e10-4d43-adec-45072be67389,EMAIL,bryantmichael@example.com,Y,2020-07-31,2029-08-31
6e961759-65fa-43ca-9e10-d2058cd6d4ef,a6365f6f-bc15-4c6b-9136-df94fe3d040d,EMAIL,amyevans@example.org,Y,2023-07-30,2028-09-03
a426724d-1068-49d9-9792-52f6f4ddc7e1,a6365f6f-bc15-4c6b-9136-df94fe3d040d,PHONE,+18854567175,N,2021-02-22,2027-12-16
08aed7a0-8326-43b9-854d-d307f4cd3e3c,a6365f6f-bc15-4c6b-9136-df94fe3d040d,PHONE,+14965497646,N,2024-10-10,2027-06-23
018ebbe0-0c0b-4189-a486-babd3433681d,11e2d1ef-6d93-4822-8912-8b3f8eccc5b8,EMAIL,kevin50@example.com,Y,2022-12-17,2026-10-02
70a7e41f-c301-4c0b-bc3e-cdef9543d57b,11e2d1ef-6d93-4822-8912-8b3f8eccc5b8,PHONE,+19403942057,N,2021-01-23,2028-03-31
e1639520-86e7-4a72-9567-292cae41681b,4fe41f7d-3dac-4c14-b1a6-824837f7b09e,EMAIL,brobertson@example.net,Y,2022-09-17,2029-09-06
fa6102d0-5dcd-4a18-be8f-4909050bc536,38c56099-6efb-4320-9a60-fca23b435605,EMAIL,donaldbauer@example.org,Y,2023-09-26,2029-12-15
98641ce7-54fb-4724-9c76-c820755256d7,38c56099-6efb-4320-9a60-fca23b435605,PHONE,+12706598148,N,2023-05-01,2029-12-06
13cdd84d-bfba-4523-9e6b-399e4462a62b,c951e71a-9824-4cfd-9497-c6f2a53a79dc,EMAIL,elawrence@example.com,Y,2023-11-16,2029-12-06
9d84c7c4-848d-4b6a-b725-93c4957daae6,a0e9aea7-9050-4561-ab6f-0db549fe16ff,EMAIL,thomasshelton@example.com,Y,2020-11-14,2028-07-25
984d507f-06db-48b0-87ef-8792ab7f7a09,a0e9aea7-9050-4561-ab6f-0db549fe16ff,PHONE,+11744679985,N,2023-07-15,2029-02-13
bd957c76-271e-4767-aa0d-3713234cf248,a0e9aea7-9050-4561-ab6f-0db549fe16ff,EMAIL,patrickjackie@example.net,N,2022-05-05,2029-11-10
7214cff3-c129-49ac-9b39-61ce80e8b0e5,23d92905-e344-40f3-a956-84079b3f3958,EMAIL,jose06@example.net,Y,2022-11-01,2027-03-18
7132e0a8-1b81-450e-995b-f3079bd22bb4,9a32797f-fd40-4a0b-b083-475969ac68e5,EMAIL,shelby44@example.org,Y,2023-03-09,2026-05-03
c73e4ecf-ee60-472a-9ee7-44ce786957b0,9a32797f-fd40-4a0b-b083-475969ac68e5,PHONE,+13811956824,N,2021-05-17,2029-02-01
2a31b649-22a7-4842-98aa-50597c4de0f2,10fe7754-046d-4e74-8d0d-c834d7cb4ed3,EMAIL,alanrichardson@example.net,Y,2024-02-05,2027-04-20
80911c44-8905-47e3-aba1-d244ed8e43a3,10fe7754-046d-4e74-8d0d-c834d7cb4ed3,PHONE,+14328383705,N,2021-03-05,2026-08-14
a355667e-6355-4889-b194-dd77ca501a5e,2dd569fe-1d8e-4791-9ca7-72c1a696c341,EMAIL,jpeterson@example.net,Y,2024-11-14,2026-08-09
fbc54ebd-a0eb-4342-bdac-739cd5e102de,2dd569fe-1d8e-4791-9ca7-72c1a696c341,PHONE,+14065078893,N,2021-03-25,2026-08-03
154e8a6d-b181-472c-aa64-9f1f6987755f,184d2c17-a050-4b11-8b08-ab63ea075fb0,EMAIL,nchristian@example.com,Y,2023-06-01,2026-05-22
b86b5498-70ee-40b3-a5bb-d17fbddf29a7,184d2c17-a050-4b11-8b08-ab63ea075fb0,PHONE,+15455959939,N,2020-09-20,2026-11-16
c7e156fd-c667-44c5-bcb9-c2f398f044ae,905a3085-992f-4d69-ab19-3d2b7f2ac370,EMAIL,rmatthews@example.org,Y,2022-10-28,2028-09-30
e4505ce9-6233-4321-9b7b-48023bedeb7b,905a3085-992f-4d69-ab19-3d2b7f2ac370,PHONE,+15716698133,N,2023-06-10,2027-05-01
b34c70b5-a537-430a-82ad-5e39bc733cd2,905a3085-992f-4d69-ab19-3d2b7f2ac370,EMAIL,levineashley@example.com,N,2020-07-20,2028-10-12
fd9ceef5-b547-4f11-9b07-dc25ceb25731,5582a2f4-a819-4db6-814d-43095a63e327,EMAIL,burnsmiguel@example.com,Y,2021-11-27,2027-07-18
12221444-31a3-4a8a-9f8a-c04db49fb36e,06b16a21-267d-4582-82d6-e3ac43d5e28e,EMAIL,rwright@example.org,Y,2024-08-05,2026-05-11
e423e7b6-aee7-404d-b5cd-09290fb05139,06b16a21-267d-4582-82d6-e3ac43d5e28e,PHONE,+14386230644,N,2021-11-06,2030-01-21
3fc13c5a-f411-4c1e-b36e-36a43e440ffb,ec0b293b-90b9-4045-824d-068d47a409d5,EMAIL,davidbrown@example.net,Y,2023-12-30,2029-09-28
12661d1e-5d01-4ca6-a1d8-84ad0baa1f9e,ec0b293b-90b9-4045-824d-068d47a409d5,PHONE,+14891584743,N,2024-04-18,2028-08-18
174eb1c3-30af-41c3-b73e-a6ffc73ca0a8,ec0b293b-90b9-4045-824d-068d47a409d5,PHONE,+18403414053,N,2022-06-06,2027-12-16
5468289a-c325-4268-9b81-df93c69a3ee1,3662acc4-786d-46cf-b753-eac8ee369b1d,EMAIL,kevin89@example.net,Y,2024-09-08,2030-02-11
df63322e-109e-497d-bc27-8f0392062c86,3662acc4-786d-46cf-b753-eac8ee369b1d,PHONE,+17026921620,N,2021-06-30,2029-11-21
6fb92bee-a0d8-4dcc-bcc9-2199e08a98a3,3662acc4-786d-46cf-b753-eac8ee369b1d,EMAIL,obrientroy@example.com,N,2021-11-16,2028-04-06
16e22aca-fb83-4dd0-9c91-c8a09009e6da,1c20f6b3-c8a3-41f4-9fca-3519219a33d3,EMAIL,anthony54@example.com,Y,2020-12-29,2027-07-10
98ddbfca-e261-4fe5-9053-128bbf7f0000,4295a9ca-a36a-404d-a1ee-06317683b403,EMAIL,omyers@example.net,Y,2024-05-09,2030-01-14
